Date,Open,High,Low,Close,Adj Close,Volume
2007-12-10,5889.350098,5902.049805,5826.049805,5862.450195,5862.450195,2975900
2007-12-11,5897.850098,5993.450195,5893.299805,5981.799805,5981.799805,3184600
2007-12-12,5919.850098,6056.250000,5900.200195,6043.200195,6043.200195,2734200
2007-12-13,6063.200195,6069.000000,5947.100098,5962.399902,5962.399902,3190700
2007-12-14,5962.950195,5986.700195,5926.850098,5957.649902,5957.649902,2475100
2007-12-17,5918.350098,5944.000000,5649.100098,5688.049805,5688.049805,3188100
2007-12-18,5738.500000,5738.500000,5614.850098,5657.649902,5657.649902,3193000
2007-12-19,5700.149902,5756.200195,5592.149902,5664.250000,5664.250000,2321800
2007-12-20,5684.149902,5710.500000,5653.950195,5675.399902,5675.399902,2907400
2007-12-24,5733.950195,5889.399902,5733.950195,5877.750000,5877.750000,2475600
2007-12-26,5890.549805,5982.649902,5890.549805,5973.100098,5973.100098,1923800
2007-12-27,5974.399902,6006.950195,5954.350098,5970.250000,5970.250000,3071600
2007-12-28,5967.500000,5996.000000,5919.250000,5989.950195,5989.950195,1866500
2007-12-31,6010.299805,6066.100098,6010.299805,6048.200195,6048.200195,2912400
2008-01-01,6052.450195,6081.100098,6025.799805,6064.299805,6064.299805,2912400
2008-01-02,6086.250000,6129.399902,5995.149902,6113.899902,6113.899902,2597600
2008-01-03,6092.850098,6165.450195,6074.250000,6118.350098,6118.350098,2807500
2008-01-04,6139.350098,6230.450195,6139.350098,6204.750000,6204.750000,3049400
2008-01-07,6134.649902,6214.350098,6123.899902,6205.100098,6205.100098,3194900
2008-01-08,6239.799805,6277.049805,6126.100098,6192.000000,6192.000000,3004700
2008-01-09,6195.549805,6251.100098,6138.899902,6187.250000,6187.250000,2358100
2008-01-10,6207.100098,6258.649902,6044.299805,6056.299805,6056.299805,2387700
2008-01-11,6063.799805,6121.700195,6001.299805,6097.799805,6097.799805,2374500
2008-01-14,6101.049805,6144.899902,6089.000000,6127.600098,6127.600098,2049500
2008-01-15,6146.600098,6178.100098,5980.250000,5998.450195,5998.450195,2282400
2008-01-16,5931.850098,5931.850098,5751.799805,5865.799805,5865.799805,2679900
2008-01-17,5889.000000,5939.649902,5814.899902,5842.700195,5842.700195,2270500
2008-01-18,5808.700195,5828.899902,5587.549805,5613.100098,5613.100098,2386800
2008-01-21,5612.850098,5612.850098,4867.450195,5093.600098,5093.600098,3931800
2008-01-22,4875.649902,4900.600098,4336.350098,4785.250000,4785.250000,4086800
2008-01-23,4788.700195,5220.450195,4788.700195,5099.399902,5099.399902,3435400
2008-01-24,5170.549805,5256.250000,4885.899902,4932.399902,4932.399902,3109200
2008-01-25,5018.950195,5295.100098,5018.950195,5285.000000,5285.000000,2185200
2008-01-28,5200.399902,5208.700195,4988.049805,5193.399902,5193.399902,1875700
2008-01-29,5211.149902,5305.100098,5132.750000,5189.549805,5189.549805,1832500
2008-01-30,5216.000000,5216.000000,5047.450195,5070.750000,5070.750000,1769000
2008-01-31,5083.649902,5149.149902,4965.200195,5037.750000,5037.750000,3438300
2008-02-01,5077.500000,5212.950195,4989.799805,5194.350098,5194.350098,1979100
2008-02-04,5265.049805,5415.649902,5265.049805,5339.799805,5339.799805,2130900
2008-02-05,5337.850098,5378.200195,5297.799805,5360.700195,5360.700195,2126600
2008-02-06,5209.799805,5244.700195,5140.799805,5207.950195,5207.950195,2377200
2008-02-07,5216.850098,5229.799805,5007.049805,5022.250000,5022.250000,2284500
2008-02-08,5023.899902,5059.250000,4913.750000,4994.500000,4994.500000,2077100
2008-02-11,4977.799805,4977.799805,4683.850098,4735.600098,4735.600098,2259600
2008-02-12,4765.100098,4823.350098,4702.350098,4717.049805,4717.049805,1885300
2008-02-13,4770.299805,4854.549805,4732.049805,4795.750000,4795.750000,2095500
2008-02-14,4896.500000,5077.950195,4890.350098,5062.750000,5062.750000,2288900
2008-02-15,4993.250000,5171.649902,4974.899902,5160.600098,5160.600098,2363400
2008-02-18,5184.450195,5204.899902,5095.850098,5141.250000,5141.250000,1585800
2008-02-19,5154.600098,5229.049805,5126.850098,5146.149902,5146.149902,1803200
2008-02-20,5102.850098,5116.600098,4982.450195,5019.200195,5019.200195,1749800
2008-02-21,5048.250000,5108.049805,4984.500000,5053.000000,5053.000000,1775700
2008-02-22,5022.649902,5022.649902,4957.799805,4972.899902,4972.899902,1392900
2008-02-25,5001.799805,5061.649902,4914.649902,5051.700195,5051.700195,1387500
2008-02-26,5052.250000,5132.799805,5052.250000,5121.549805,5121.549805,1528700
2008-02-27,5152.000000,5218.350098,5103.899902,5121.700195,5121.700195,1689000
2008-02-28,5095.700195,5141.200195,5073.600098,5124.750000,5124.750000,1958300
2008-02-29,5105.200195,5113.649902,4951.149902,5072.149902,5072.149902,2721300
2008-03-03,4971.200195,4971.200195,4789.100098,4803.750000,4803.750000,2442500
2008-03-04,4817.649902,4825.200195,4647.700195,4706.700195,4706.700195,2597200
2008-03-05,4710.750000,4760.450195,4678.450195,4746.250000,4746.250000,2013700
2008-03-07,4698.399902,4698.399902,4495.100098,4589.450195,4589.450195,2522000
2008-03-10,4517.750000,4626.000000,4434.750000,4613.149902,4613.149902,2784300
2008-03-11,4575.000000,4716.000000,4550.000000,4696.549805,4696.549805,2579500
2008-03-12,4778.350098,4847.149902,4682.200195,4699.399902,4699.399902,2251100
2008-03-13,4632.000000,4632.000000,4407.549805,4448.149902,4448.149902,2198000
2008-03-14,4465.500000,4579.100098,4435.649902,4565.500000,4565.500000,2101400
2008-03-17,4451.700195,4451.700195,4295.250000,4315.399902,4315.399902,2660400
2008-03-18,4306.700195,4414.600098,4285.600098,4331.950195,4331.950195,3282700
2008-03-19,4458.200195,4514.100098,4342.250000,4362.549805,4362.549805,2859800
2008-03-24,4379.549805,4432.600098,4319.649902,4385.049805,4385.049805,2398500
2008-03-25,4472.049805,4673.850098,4472.049805,4654.450195,4654.450195,2930700
2008-03-26,4666.000000,4690.750000,4598.000000,4620.500000,4620.500000,2568000
2008-03-27,4577.450195,4654.950195,4564.000000,4617.350098,4617.350098,3206600
2008-03-28,4639.700195,4758.600098,4588.850098,4734.549805,4734.549805,2881200
2008-03-31,4679.000000,4697.149902,4509.100098,4537.850098,4537.850098,2654500
2008-04-01,4544.750000,4586.799805,4437.350098,4535.700195,4535.700195,1986100
2008-04-02,4574.750000,4705.299805,4542.450195,4553.700195,4553.700195,1954900
2008-04-03,4567.149902,4622.799805,4539.649902,4567.600098,4567.600098,2050400
2008-04-04,4563.549805,4581.850098,4435.600098,4449.799805,4449.799805,2285400
2008-04-07,4466.500000,4592.250000,4442.299805,4560.500000,4560.500000,2026100
2008-04-08,4559.100098,4567.850098,4488.100098,4517.450195,4517.450195,1993300
2008-04-09,4513.200195,4569.500000,4482.100098,4559.049805,4559.049805,1782500
2008-04-10,4562.549805,4608.100098,4532.350098,4543.450195,4543.450195,2491200
2008-04-11,4574.549805,4618.350098,4538.600098,4583.350098,4583.350098,1993700
2008-04-15,4565.350098,4708.100098,4520.149902,4679.200195,4679.200195,2587800
2008-04-16,4715.899902,4753.600098,4680.100098,4692.750000,4692.750000,2772800
2008-04-17,4744.500000,4791.850098,4735.500000,4769.649902,4769.649902,2781700
2008-04-21,4780.299805,4858.600098,4780.299805,4850.250000,4850.250000,2201700
2008-04-22,4831.649902,4893.200195,4815.250000,4874.950195,4874.950195,3519800
2008-04-23,4897.899902,4906.399902,4828.850098,4848.049805,4848.049805,3652000
2008-04-24,4866.450195,4894.250000,4818.899902,4824.549805,4824.549805,3291800
2008-04-25,4841.100098,4931.649902,4841.100098,4926.950195,4926.950195,2991800
2008-04-28,4919.850098,4961.000000,4902.100098,4911.299805,4911.299805,2470800
2008-04-29,4912.750000,5026.950195,4908.649902,5013.149902,5013.149902,3636800
2008-04-30,5027.000000,5048.649902,4978.899902,4988.000000,4988.000000,2955900
2008-05-02,5043.649902,5072.799805,5026.950195,5054.549805,5054.549805,3022200
2008-05-05,5060.399902,5089.950195,5021.600098,5030.450195,5030.450195,2928800
2008-05-06,5023.350098,5036.700195,4944.049805,4977.149902,4977.149902,2851700
2008-05-07,4981.950195,4990.250000,4932.299805,4962.000000,4962.000000,2687700
2008-05-08,4928.450195,4928.450195,4886.600098,4902.250000,4902.250000,2326100
2008-05-09,4887.899902,4908.850098,4782.950195,4796.549805,4796.549805,2979000
2008-05-12,4770.149902,4829.000000,4725.000000,4820.850098,4820.850098,2939700
2008-05-13,4829.850098,4879.149902,4764.100098,4776.350098,4776.350098,3107500
2008-05-14,4758.450195,4840.350098,4753.899902,4827.649902,4827.649902,2587900
2008-05-15,4840.450195,4928.950195,4840.450195,4925.750000,4925.750000,2629600
2008-05-16,4951.350098,4978.200195,4922.049805,4969.000000,4969.000000,2561700
2008-05-20,4945.700195,4954.600098,4884.049805,4915.450195,4915.450195,2507400
2008-05-21,4904.450195,4942.549805,4863.600098,4926.549805,4926.549805,2887100
2008-05-22,4900.799805,4900.799805,4822.250000,4835.450195,4835.450195,2638100
2008-05-23,4842.500000,4870.000000,4751.950195,4757.399902,4757.399902,2534600
2008-05-26,4733.450195,4733.450195,4663.100098,4675.149902,4675.149902,2090500
2008-05-27,4717.200195,4727.950195,4639.200195,4652.149902,4652.149902,2294100
2008-05-28,4660.000000,4721.649902,4630.899902,4713.600098,4713.600098,2450000
2008-05-29,4738.549805,4751.549805,4609.049805,4639.600098,4639.600098,3898800
2008-05-30,4670.250000,4706.399902,4630.649902,4669.200195,4669.200195,2699600
2008-06-02,4669.850098,4706.049805,4514.399902,4539.250000,4539.250000,2193800
2008-06-03,4498.000000,4524.850098,4434.200195,4516.399902,4516.399902,2632800
2008-06-04,4522.850098,4533.700195,4368.549805,4385.100098,4385.100098,2802200
2008-06-05,4391.000000,4483.899902,4335.750000,4472.649902,4472.649902,3032700
2008-06-06,4501.000000,4535.799805,4411.500000,4424.049805,4424.049805,2352700
2008-06-09,4315.500000,4323.250000,4209.200195,4296.450195,4296.450195,2933800
2008-06-10,4276.200195,4300.950195,4170.200195,4243.899902,4243.899902,2886100
2008-06-11,4276.549805,4331.750000,4276.549805,4316.700195,4316.700195,2864300
2008-06-12,4236.549805,4340.149902,4193.549805,4332.700195,4332.700195,3175100
2008-06-13,4339.899902,4352.450195,4289.399902,4313.500000,4313.500000,2450200
2008-06-16,4363.950195,4409.299805,4350.100098,4365.500000,4365.500000,2020400
2008-06-17,4372.450195,4462.899902,4355.399902,4453.100098,4453.100098,1991900
2008-06-18,4466.350098,4477.149902,4372.149902,4383.049805,4383.049805,2493700
2008-06-19,4346.899902,4346.899902,4290.850098,4303.350098,4303.350098,1766600
2008-06-20,4325.600098,4329.350098,4136.649902,4150.000000,4150.000000,2465500
2008-06-23,4113.450195,4134.600098,4022.949951,4057.949951,4057.949951,2446100
2008-06-24,4062.600098,4097.399902,3958.800049,3988.199951,3988.199951,2529400
