Date, Open, High, Low, Close
06/28/23, 4054.14, 4054.14, 4054.14, 4054.14
06/27/23, 4044.60, 4044.60, 4044.60, 4044.60
06/26/23, 4010.50, 4010.50, 4010.50, 4010.50
06/23/23, 4013.02, 4013.02, 4013.02, 4013.02
06/22/23, 4060.19, 4060.19, 4060.19, 4060.19
06/21/23, 4075.00, 4075.00, 4075.00, 4075.00
06/20/23, 4103.11, 4106.83, 4070.18, 4082.15
06/19/23, 4121.83, 4122.20, 4101.72, 4103.44
06/16/23, 4116.28, 4137.29, 4110.15, 4118.61
06/15/23, 4110.61, 4110.61, 4110.61, 4110.61
06/14/23, 4087.58, 4087.58, 4087.58, 4087.58
06/13/23, 4055.71, 4055.71, 4055.71, 4055.71
06/12/23, 4017.98, 4017.98, 4017.98, 4017.98
06/09/23, 4006.31, 4006.31, 4006.31, 4006.31
06/08/23, 3996.24, 3996.24, 3996.24, 3996.24
06/07/23, 3975.13, 3975.13, 3975.13, 3975.13
06/06/23, 3969.92, 3969.92, 3969.92, 3969.92
06/05/23, 3954.11, 3954.11, 3954.11, 3954.11
06/02/23, 3957.10, 3957.10, 3957.10, 3957.10
06/01/23, 3887.12, 3887.12, 3887.12, 3887.12
05/31/23, 3833.76, 3833.76, 3833.76, 3833.76
05/30/23, 3891.75, 3891.75, 3891.75, 3891.75
05/29/23, 3902.08, 3902.08, 3902.08, 3902.08
05/26/23, 3892.32, 3892.32, 3892.32, 3892.32
05/25/23, 3863.11, 3863.11, 3863.11, 3863.11
05/24/23, 3873.78, 3873.78, 3873.78, 3873.78
05/23/23, 3917.19, 3917.19, 3917.19, 3917.19
05/22/23, 3943.22, 3943.22, 3943.22, 3943.22
05/19/23, 3942.48, 3942.48, 3942.48, 3942.48
05/18/23, 3939.34, 3939.34, 3939.34, 3939.34
05/17/23, 3922.99, 3922.99, 3922.99, 3922.99
05/16/23, 3906.27, 3906.27, 3906.27, 3906.27
05/15/23, 3926.64, 3926.64, 3926.64, 3926.64
05/12/23, 3908.04, 3908.04, 3908.04, 3908.04
05/11/23, 3918.56, 3918.56, 3918.56, 3918.56
05/10/23, 3941.11, 3941.11, 3941.11, 3941.11
05/09/23, 3952.74, 3952.74, 3952.74, 3952.74
05/08/23, 3964.28, 3964.28, 3964.28, 3964.28
05/05/23, 3948.86, 3948.86, 3948.86, 3948.86
05/04/23, 3899.23, 3899.23, 3899.23, 3899.23
05/03/23, 3930.21, 3930.21, 3930.21, 3930.21
05/02/23, 3935.81, 3935.81, 3935.81, 3935.81
05/01/23, 3984.05, 3984.05, 3984.05, 3984.05
04/28/23, 3987.55, 3987.55, 3987.55, 3987.55
04/27/23, 3964.43, 3964.43, 3964.43, 3964.43
04/26/23, 3927.56, 3927.56, 3927.56, 3927.56
04/25/23, 3941.44, 3941.44, 3941.44, 3941.44
04/24/23, 3984.60, 3984.60, 3984.60, 3984.60
04/21/23, 3977.77, 3977.77, 3977.77, 3977.77
04/20/23, 3986.57, 3986.57, 3986.57, 3986.57
04/19/23, 4009.18, 4009.18, 4009.18, 4009.18
04/18/23, 4013.37, 4013.37, 4013.37, 4013.37
04/17/23, 3994.29, 3994.29, 3994.29, 3994.29
04/14/23, 3996.46, 3996.46, 3996.46, 3996.46
04/13/23, 3994.28, 3994.28, 3994.28, 3994.28
04/12/23, 3961.84, 3961.84, 3961.84, 3961.84
04/11/23, 3951.59, 3951.59, 3951.59, 3951.59
04/10/23, 3921.81, 3921.81, 3921.81, 3921.81
04/07/23, 3931.67, 3931.67, 3931.67, 3931.67
04/06/23, 3929.97, 3929.97, 3929.97, 3929.97
04/05/23, 3928.46, 3928.46, 3928.46, 3928.46
04/04/23, 3941.35, 3941.35, 3941.35, 3941.35
04/03/23, 3945.10, 3945.10, 3945.10, 3945.10
03/31/23, 3922.23, 3922.23, 3922.23, 3922.23
03/30/23, 3890.08, 3890.08, 3890.08, 3890.08
03/29/23, 3854.19, 3854.19, 3854.19, 3854.19
03/28/23, 3807.08, 3807.08, 3807.08, 3807.08
03/27/23, 3780.31, 3780.31, 3780.31, 3780.31
03/24/23, 3758.12, 3758.12, 3758.12, 3758.12
03/23/23, 3792.83, 3792.83, 3792.83, 3792.83
03/22/23, 3780.78, 3780.78, 3780.78, 3780.78
03/21/23, 3797.75, 3797.75, 3797.75, 3797.75
03/20/23, 3741.66, 3741.66, 3741.66, 3741.66
03/17/23, 3711.76, 3711.76, 3711.76, 3711.76
03/16/23, 3742.87, 3742.87, 3742.87, 3742.87
03/15/23, 3709.29, 3709.29, 3709.29, 3709.29
03/14/23, 3797.25, 3797.25, 3797.25, 3797.25
03/13/23, 3779.08, 3779.08, 3779.08, 3779.08
03/10/23, 3834.70, 3834.70, 3834.70, 3834.70
03/09/23, 3875.70, 3875.70, 3875.70, 3875.70
03/08/23, 3909.33, 3909.33, 3909.33, 3909.33
03/07/23, 3910.85, 3910.85, 3910.85, 3910.85
03/06/23, 3965.52, 3965.52, 3965.52, 3965.52
03/03/23, 3946.33, 3946.33, 3946.33, 3946.33
03/02/23, 3898.17, 3898.17, 3898.17, 3898.17
03/01/23, 3891.03, 3891.03, 3891.03, 3891.03
02/28/23, 3886.61, 3886.61, 3886.61, 3886.61
02/27/23, 3892.30, 3892.30, 3892.30, 3892.30
02/24/23, 3864.36, 3864.36, 3864.36, 3864.36
02/23/23, 3910.90, 3910.90, 3910.90, 3910.90
02/22/23, 3910.52, 3910.52, 3910.52, 3910.52
02/21/23, 3938.69, 3938.69, 3938.69, 3938.69
02/20/23, 3983.30, 3983.30, 3983.30, 3983.30
02/17/23, 3972.69, 3972.69, 3972.69, 3972.69
02/16/23, 3980.34, 3980.34, 3980.34, 3980.34
02/15/23, 3989.98, 3989.98, 3989.98, 3989.98
02/14/23, 3993.60, 3993.60, 3993.60, 3993.60
02/13/23, 3986.90, 3986.90, 3986.90, 3986.90
02/10/23, 3960.36, 3960.36, 3960.36, 3960.36
02/09/23, 3975.60, 3975.60, 3975.60, 3975.60
