Date, Open, High, Low, Close
06/06/23, 3496.27, 3524.40, 3488.69, 3512.63
06/05/23, 3463.40, 3509.70, 3463.10, 3503.37
06/02/23, 3411.81, 3472.00, 3411.81, 3458.45
06/01/23, 3365.91, 3398.42, 3361.86, 3393.07
05/31/23, 3400.42, 3400.42, 3339.61, 3347.79
05/30/23, 3395.63, 3419.69, 3387.62, 3412.40
05/29/23, 3379.38, 3412.29, 3378.61, 3398.84
05/26/23, 3366.77, 3385.03, 3366.18, 3370.86
05/25/23, 3390.61, 3399.83, 3358.99, 3365.16
05/24/23, 3423.73, 3433.28, 3399.19, 3401.50
05/23/23, 3465.29, 3476.52, 3431.21, 3437.63
05/22/23, 3450.52, 3472.45, 3446.53, 3457.06
05/19/23, 3441.00, 3457.72, 3433.24, 3444.63
05/18/23, 3412.21, 3452.31, 3411.95, 3432.40
05/17/23, 3414.35, 3424.87, 3400.32, 3400.65
05/16/23, 3412.39, 3429.84, 3409.58, 3412.01
05/15/23, 3378.85, 3408.38, 3373.86, 3403.51
05/12/23, 3390.78, 3398.60, 3376.44, 3378.97
05/11/23, 3405.50, 3409.83, 3387.69, 3390.21
05/10/23, 3397.19, 3411.13, 3381.95, 3403.64
05/09/23, 3402.84, 3419.36, 3397.25, 3402.05
05/08/23, 3384.49, 3404.29, 3383.99, 3403.25
05/05/23, 3395.38, 3409.64, 3382.43, 3388.45
05/04/23, 3385.20, 3397.48, 3376.73, 3397.38
05/03/23, 3377.24, 3380.62, 3358.23, 3378.53
05/02/23, 3361.74, 3379.23, 3350.89, 3376.97
05/01/23, 3359.97, 3369.08, 3357.22, 3361.02
04/28/23, 3382.55, 3386.47, 3344.53, 3350.52
04/27/23, 3357.66, 3377.84, 3347.70, 3367.17
04/26/23, 3357.07, 3366.17, 3344.10, 3362.09
04/25/23, 3389.07, 3394.72, 3357.73, 3366.21
04/24/23, 3394.88, 3398.19, 3368.97, 3379.37
04/21/23, 3410.70, 3417.33, 3383.27, 3385.09
04/20/23, 3402.67, 3421.89, 3393.85, 3420.68
04/19/23, 3434.02, 3437.46, 3403.07, 3412.37
04/18/23, 3432.13, 3435.73, 3418.14, 3433.55
04/17/23, 3410.77, 3438.70, 3405.19, 3425.78
04/14/23, 3428.31, 3436.75, 3409.20, 3414.67
04/13/23, 3399.50, 3423.34, 3382.23, 3417.07
04/12/23, 3392.94, 3409.46, 3385.59, 3399.71
04/11/23, 3381.14, 3403.27, 3378.34, 3386.94
04/10/23, 3394.28, 3396.42, 3366.35, 3367.69
04/07/23, 3382.54, 3395.14, 3378.18, 3386.35
04/06/23, 3398.98, 3398.98, 3377.05, 3379.31
04/05/23, 3426.47, 3427.12, 3396.20, 3409.76
04/04/23, 3442.70, 3443.88, 3414.39, 3432.25
04/03/23, 3417.02, 3438.63, 3399.71, 3437.45
03/31/23, 3381.11, 3431.29, 3380.83, 3417.37
03/30/23, 3371.34, 3388.26, 3363.33, 3381.84
03/29/23, 3343.89, 3384.54, 3338.86, 3373.78
03/28/23, 3316.09, 3348.59, 3315.97, 3341.52
03/27/23, 3342.48, 3349.38, 3310.55, 3313.65
03/24/23, 3345.06, 3357.62, 3334.64, 3342.60
03/23/23, 3321.99, 3357.28, 3299.76, 3347.16
03/22/23, 3244.88, 3314.51, 3244.47, 3305.42
03/21/23, 3242.59, 3256.74, 3242.19, 3242.82
03/20/23, 3278.57, 3279.15, 3225.45, 3235.77
03/17/23, 3216.90, 3281.49, 3216.16, 3279.46
03/16/23, 3246.07, 3247.73, 3206.59, 3220.28
03/15/23, 3224.41, 3264.21, 3224.37, 3258.16
03/14/23, 3307.33, 3307.91, 3214.69, 3218.94
03/13/23, 3299.41, 3319.17, 3255.93, 3309.28
03/10/23, 3323.28, 3326.07, 3265.84, 3298.10
03/09/23, 3346.19, 3361.51, 3342.81, 3355.65
03/08/23, 3346.19, 3346.23, 3343.22, 3343.67
03/07/23, 3371.70, 3371.77, 3371.25, 3371.65
03/06/23, 3391.38, 3391.60, 3388.82, 3389.09
03/03/23, 3313.16, 3362.54, 3312.86, 3354.25
03/02/23, 3313.16, 3313.33, 3312.86, 3313.33
03/01/23, 3335.77, 3338.66, 3335.77, 3338.66
02/28/23, 3294.40, 3294.73, 3294.32, 3294.73
02/27/23, 3303.84, 3304.42, 3303.84, 3304.15
02/24/23, 3353.46, 3362.49, 3304.69, 3307.97
02/23/23, 3353.46, 3354.84, 3353.46, 3354.84
02/22/23, 3354.34, 3354.34, 3354.34, 3354.34
02/21/23, 3382.71, 3384.06, 3382.71, 3383.98
02/20/23, 3420.13, 3420.22, 3418.65, 3418.97
02/17/23, 3440.56, 3441.84, 3391.92, 3404.48
02/16/23, 3440.56, 3440.56, 3440.48, 3440.48
02/15/23, 3419.60, 3419.63, 3419.52, 3419.63
