Date, Open, High, Low, Close
09/25/23, 13172.54, 13277.83, 13132.00, 13271.32
09/22/23, 13287.17, 13353.22, 13200.64, 13211.81
09/21/23, 13328.06, 13362.23, 13222.56, 13223.98
09/20/23, 13710.26, 13727.81, 13467.28, 13469.13
09/19/23, 13649.44, 13705.15, 13578.87, 13678.19
09/18/23, 13669.95, 13751.28, 13663.45, 13710.24
09/15/23, 13889.20, 13895.75, 13684.25, 13708.33
09/14/23, 13889.76, 13957.57, 13810.66, 13926.05
09/13/23, 13773.67, 13868.57, 13733.82, 13813.59
09/12/23, 13858.94, 13913.60, 13763.69, 13773.61
09/11/23, 13884.03, 13937.47, 13805.13, 13917.89
09/08/23, 13754.71, 13843.37, 13733.18, 13761.53
09/07/23, 13675.11, 13774.64, 13642.47, 13748.83
09/06/23, 13988.81, 14001.95, 13802.42, 13872.47
09/05/23, 13994.54, 14060.85, 13945.65, 14020.95
09/01/23, 14129.96, 14149.62, 13982.42, 14031.81
08/31/23, 14041.54, 14114.67, 14010.48, 14034.97
08/30/23, 13961.77, 14050.82, 13924.20, 14019.31
08/29/23, 13687.23, 13959.81, 13677.06, 13943.76
08/28/23, 13695.36, 13735.98, 13626.64, 13705.13
08/25/23, 13514.37, 13633.42, 13376.34, 13590.65
08/24/23, 13834.31, 13834.68, 13462.84, 13463.97
08/23/23, 13532.43, 13757.00, 13532.43, 13721.03
08/22/23, 13593.94, 13598.76, 13484.38, 13505.87
08/21/23, 13347.26, 13516.86, 13325.59, 13497.59
08/18/23, 13190.02, 13335.87, 13161.76, 13290.78
08/17/23, 13527.30, 13535.09, 13303.44, 13316.93
08/16/23, 13593.17, 13644.32, 13473.03, 13474.63
08/15/23, 13760.48, 13774.98, 13611.93, 13631.05
08/14/23, 13599.00, 13789.16, 13582.49, 13788.33
08/11/23, 13633.65, 13720.33, 13609.98, 13644.85
08/10/23, 13818.25, 13947.16, 13686.51, 13737.99
08/09/23, 13897.61, 13898.53, 13698.39, 13722.02
